identifier,pasal,ayat,poin,element_type,content,full_text,hierarchy_level,source_document,source_file
bab,,,,bab,BAB I: KETENTUAN UMUM,BAB I: KETENTUAN UMUM,1,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 3 ayat (1),3.0,1.0,,ayat,"Koperasi primer dibentuk paling sedikit oleh 9 (sembilan) orang. (21 Koperasi sekunder dibentuk paling sedikit oleh 3 (tiga) Koperasi. PasalPasal 2 Pemerintah Pusat dan memberikan kemudahan,Pemerintah Daerah pelindungan, dan","Pasal 3 ayat (1) berbunyi: Koperasi primer dibentuk paling sedikit oleh 9 (sembilan) orang. (21 Koperasi sekunder dibentuk paling sedikit oleh 3 (tiga) Koperasi. PasalPasal 2 Pemerintah Pusat dan memberikan kemudahan,Pemerintah Daerah pelindungan, dan",4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
bab,,,,bab,"BAB II: KEMUDAHAN, PELINDUNGAN, DAN PEMBERDAYAAN KOPERASI","BAB II: KEMUDAHAN, PELINDUNGAN, DAN PEMBERDAYAAN KOPERASI",1,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
bagian,,,,bagian,Bagian Kesatu,Bagian Kesatu,2,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 4,4.0,,,pasal,Koperasi memperoleh status badan hukum pada tanggalditerbitkan surat keputusan menteri yang menyelenggarakan urusan pemerintahan di bidang hukum dan hak asasi manusia tentang pengesahan badan hukum Koperasi.,Pasal 4 berbunyi: Koperasi memperoleh status badan hukum pada tanggalditerbitkan surat keputusan menteri yang menyelenggarakan urusan pemerintahan di bidang hukum dan hak asasi manusia tentang pengesahan badan hukum Koperasi.,3,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 5,5.0,,,pasal,Pembentukan Koperasi dilakukan dengan akta pendirian yang memuat anggaran dasar.,Pasal 5 berbunyi: Pembentukan Koperasi dilakukan dengan akta pendirian yang memuat anggaran dasar.,3,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 6 ayat (1),6.0,1.0,,ayat,Dalam pembentukan Koperasi sebagaimana dimaksud dalam Pasal 5 diawali dengan rapat pembentukan Koperasi yang dihadiri oleh pendiri. (21 Rapat pembentukan Koperasi sebagaimana dimaksud pada ayat (1) dapat dilakukan secara daring dan/atau luring.,Pasal 6 ayat (1) berbunyi: Dalam pembentukan Koperasi sebagaimana dimaksud dalam Pasal 5 diawali dengan rapat pembentukan Koperasi yang dihadiri oleh pendiri. (21 Rapat pembentukan Koperasi sebagaimana dimaksud pada ayat (1) dapat dilakukan secara daring dan/atau luring.,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 6 ayat (3),6.0,3.0,,ayat,"Hasil rapat pembentukan sebagaimana dimaksud parla ayat (21 dinyatakan dengan notulen atau berita acara yang ditandatangarri oleh pimpinan rapat, dalanr bentuk paraf atau tanda tangan dengan tinta lasah atau elektronik.","Pasal 6 ayat (3) berbunyi: Hasil rapat pembentukan sebagaimana dimaksud parla ayat (21 dinyatakan dengan notulen atau berita acara yang ditandatangarri oleh pimpinan rapat, dalanr bentuk paraf atau tanda tangan dengan tinta lasah atau elektronik.",4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 7,7.0,,,pasal,Pemerintah Pusat dan Pemerintah Daerah melakukan pembinaan dan pendampingan bagi kelompok masyarakat yang akan membentuk Koperasi. Paragraf Paragraf 2 Rapat Anggota,Pasal 7 berbunyi: Pemerintah Pusat dan Pemerintah Daerah melakukan pembinaan dan pendampingan bagi kelompok masyarakat yang akan membentuk Koperasi. Paragraf Paragraf 2 Rapat Anggota,3,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 8 ayat (1),8.0,1.0,,ayat,Rapat anggota dapat dilaksanakan secara daring danl atau luring. (21 Hasil pelaksanaan rapat anggota sebagaimana dimaksud pada ayat (1) wajib disampaikan kepada secara elektronik.,Pasal 8 ayat (1) berbunyi: Rapat anggota dapat dilaksanakan secara daring danl atau luring. (21 Hasil pelaksanaan rapat anggota sebagaimana dimaksud pada ayat (1) wajib disampaikan kepada secara elektronik.,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
