identifier,pasal,ayat,poin,element_type,content,full_text,hierarchy_level,source_document,source_file
bab,,,,bab,BAB I: KETENTUAN UMUM,BAB I: KETENTUAN UMUM,1,PP Nomor 55 Tahun 2022,PP Nomor 55 Tahun 2022.pdf
bab,,,,bab,BAB II: OBJEK PA-IAK PENGHASILAN,BAB II: OBJEK PA-IAK PENGHASILAN,1,PP Nomor 55 Tahun 2022,PP Nomor 55 Tahun 2022.pdf
bagian,,,,bagian,Bagian Kesatu,Bagian Kesatu,2,PP Nomor 55 Tahun 2022,PP Nomor 55 Tahun 2022.pdf
Pasal 2,2.0,,,pasal,"Yang menjadi objek pajak adalah penghasilan, yaitu setiap tambahan kemampuan ekonomis yang diterima atau diperoleh Wajib Pajak, baik yang berasal dari Indonesia maupun dari luar Indonesia, yang dapat dipakai untuk konsumsi atau untuk menambah kekayaan Wqjib Pajak yang bersangkutan, dengan nama dan dalam bentuk apapun sebagaimana dimaksud dalam Pasal 4 ayat (1) Undang-Undang Pajak Penghasilan. Bagian Kedua Kriteria Keahlian Tertentu serta Pengenaan Pajak Penghasilan bagi Warga Negara Asing","Pasal 2 berbunyi: Yang menjadi objek pajak adalah penghasilan, yaitu setiap tambahan kemampuan ekonomis yang diterima atau diperoleh Wajib Pajak, baik yang berasal dari Indonesia maupun dari luar Indonesia, yang dapat dipakai untuk konsumsi atau untuk menambah kekayaan Wqjib Pajak yang bersangkutan, dengan nama dan dalam bentuk apapun sebagaimana dimaksud dalam Pasal 4 ayat (1) Undang-Undang Pajak Penghasilan. Bagian Kedua Kriteria Keahlian Tertentu serta Pengenaan Pajak Penghasilan bagi Warga Negara Asing",3,PP Nomor 55 Tahun 2022,PP Nomor 55 Tahun 2022.pdf
Pasal 3,3.0,,,pasal,"(U Dikecualikan dari ketentuan sebagaimana dimaksud dalam Pasal 2, warga negara asing yang telah menjadi subjek pajak dalam negeri dikenai Pajak Penghasilan hanya atas penghasilan yang diterima atau diperoleh dari Indonesia dengan ketentuan: a. memiliki keahlian tertentu sesuai dengan ketentuan peraturan perundang-undangan; dan b. berlaku selama 4 (empat) Tahun Pajak yang dihitung sejak menjadi subjek pajak dalam negeri.","Pasal 3 berbunyi: (U Dikecualikan dari ketentuan sebagaimana dimaksud dalam Pasal 2, warga negara asing yang telah menjadi subjek pajak dalam negeri dikenai Pajak Penghasilan hanya atas penghasilan yang diterima atau diperoleh dari Indonesia dengan ketentuan: a. memiliki keahlian tertentu sesuai dengan ketentuan peraturan perundang-undangan; dan b. berlaku selama 4 (empat) Tahun Pajak yang dihitung sejak menjadi subjek pajak dalam negeri.",3,PP Nomor 55 Tahun 2022,PP Nomor 55 Tahun 2022.pdf
Pasal 3 ayat (2),3.0,2.0,,ayat,"Termasuk... (21 Termasuk dalam pengertian penghasilan yang diterima atau diperoleh dari Indonesia sebagaimana dimaksud pada ayat (1) bempa penghasilan yang diterima atau diperoleh warga negara asing sehubungan dengan pekerjaan, jasa, atau kegiatan di Indonesia dengan nama dan dalam bentuk apa pun yang dibayarkan di luar Indonesia.","Pasal 3 ayat (2) berbunyi: Termasuk... (21 Termasuk dalam pengertian penghasilan yang diterima atau diperoleh dari Indonesia sebagaimana dimaksud pada ayat (1) bempa penghasilan yang diterima atau diperoleh warga negara asing sehubungan dengan pekerjaan, jasa, atau kegiatan di Indonesia dengan nama dan dalam bentuk apa pun yang dibayarkan di luar Indonesia.",4,PP Nomor 55 Tahun 2022,PP Nomor 55 Tahun 2022.pdf
Pasal 3 ayat (3),3.0,3.0,,ayat,Ketentuan sebagaimana dimaksud pada ayat (1) tidak berlaku terhadap warga negara asing yang memanfaatkan persetujuan penghindaran pajak berganda antara Pemerintah Indonesia dan pemerintah negara mitra atauyurisdiksi mitra persetujuan penghindaran pajak berganda tempat warga negara asing memperoleh penghasilan dari luar Indonesia.,Pasal 3 ayat (3) berbunyi: Ketentuan sebagaimana dimaksud pada ayat (1) tidak berlaku terhadap warga negara asing yang memanfaatkan persetujuan penghindaran pajak berganda antara Pemerintah Indonesia dan pemerintah negara mitra atauyurisdiksi mitra persetujuan penghindaran pajak berganda tempat warga negara asing memperoleh penghasilan dari luar Indonesia.,4,PP Nomor 55 Tahun 2022,PP Nomor 55 Tahun 2022.pdf
Pasal 4 ayat (1),4.0,1.0,,ayat,Warga negara asing yang memiliki keahlian tertentu sebagaimana dimaksud dalam Pasal 3 ayat (1) huruf a meliputi tenaga kerja asing yang menduduki pos jabatan tertentu dan peneliti asing. l2l Warga negara asing yang memiliki keahlian tertentu sebagaimana dimaksud pada ayat (1) yang dipekerjakanoleh pemberi kerja harus memenuhi persyaratan mengenai:,Pasal 4 ayat (1) berbunyi: Warga negara asing yang memiliki keahlian tertentu sebagaimana dimaksud dalam Pasal 3 ayat (1) huruf a meliputi tenaga kerja asing yang menduduki pos jabatan tertentu dan peneliti asing. l2l Warga negara asing yang memiliki keahlian tertentu sebagaimana dimaksud pada ayat (1) yang dipekerjakanoleh pemberi kerja harus memenuhi persyaratan mengenai:,4,PP Nomor 55 Tahun 2022,PP Nomor 55 Tahun 2022.pdf
Pasal 4 ayat (1) poin a,4.0,1.0,a,poin,penggunaan tenaga kerja asing yang dapat menduduki pos jabatan tertentu yang ditetapkan olehmenteri yang menyelenggarakan urusan pemerintahan di bidang ketenagakerjaan; atau,Pasal 4 ayat (1) poin a berbunyi: penggunaan tenaga kerja asing yang dapat menduduki pos jabatan tertentu yang ditetapkan olehmenteri yang menyelenggarakan urusan pemerintahan di bidang ketenagakerjaan; atau,5,PP Nomor 55 Tahun 2022,PP Nomor 55 Tahun 2022.pdf
Pasal 4 ayat (1) poin b,4.0,1.0,b,poin,"peneliti asing yang ditetapkan oleh kepala lembagayang menyelenggarakan tugas pemerintahan di bidang penelitian, pengembangan, pengkajian, danpenerapan, serta invensi dan inovasi, penyelenggara€rn ketenaganukliran, dan penyelenggaraan keantariksaan yang terintegrasi.","Pasal 4 ayat (1) poin b berbunyi: peneliti asing yang ditetapkan oleh kepala lembagayang menyelenggarakan tugas pemerintahan di bidang penelitian, pengembangan, pengkajian, danpenerapan, serta invensi dan inovasi, penyelenggara€rn ketenaganukliran, dan penyelenggaraan keantariksaan yang terintegrasi.",5,PP Nomor 55 Tahun 2022,PP Nomor 55 Tahun 2022.pdf
