identifier,pasal,ayat,poin,element_type,content,full_text,hierarchy_level,source_document,source_file
Pasal 1,1,,,pasal,"Dalam Peraturan Pemerintah ini, yang dimaksud dengan: 1. Undang-Undang Pajak Penghasilan adalah Undang- Undang Nomor 7 Tahun 1983 tentang Pajak Penghasilan sebagaimana telah beberapa kali diubah terakhir dengan Undang-Undang Nomor 36 Tahun 2008 tentang Perubahan Keempat atas Undang-Undang Nomor 7 Tahun 1983 tentang Pajak Penghasilan. 2. Tahun Pajak adalah jangka waktu 1 (satu) tahun kalender kecuali bila Wajib Pajak menggunakan tahun buku yang tidak sama dengan tahun kalender. 3. Pemotong atau Pemungut Pajak adalah Wajib Pajak yang dikenai kewajiban untuk melakukan pemotongan dan/atau pemungutan pajak sesuai dengan ketentuanperaturan perundang-undangan di bidang Pajak Penghasilan. Pasal2...","Pasal 1 berbunyi: Dalam Peraturan Pemerintah ini, yang dimaksud dengan: 1. Undang-Undang Pajak Penghasilan adalah Undang- Undang Nomor 7 Tahun 1983 tentang Pajak Penghasilan sebagaimana telah beberapa kali diubah terakhir dengan Undang-Undang Nomor 36 Tahun 2008 tentang Perubahan Keempat atas Undang-Undang Nomor 7 Tahun 1983 tentang Pajak Penghasilan. 2. Tahun Pajak adalah jangka waktu 1 (satu) tahun kalender kecuali bila Wajib Pajak menggunakan tahun buku yang tidak sama dengan tahun kalender. 3. Pemotong atau Pemungut Pajak adalah Wajib Pajak yang dikenai kewajiban untuk melakukan pemotongan dan/atau pemungutan pajak sesuai dengan ketentuanperaturan perundang-undangan di bidang Pajak Penghasilan. Pasal2...",3,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 1 ayat (1),1,1.0,,ayat,(2\,Pasal 1 ayat (1) berbunyi: (2\,4,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 2,2,,,pasal,"Atas penghasilan dari usaha yang diterima atau diperoleh Wajib Pajak dalam negeri yang memiliki peredaran bruto tertentu, dikenai Pajak Penghasilan yang bersifat final dalam jangka waktu tertentu. Tarif Pajak Penghasilan yang bersifat final sebagaimana dimaksud pada ayat (1) sebesar 0,57o (nol koma lima persen). Tidak termasuk penghasilan dari usaha yang dikenai Pajak Penghasilan yang bersifat final sebagaimana dimaksud pada ayat (1) sebagai berikut: a. penghasilan yang diterima atau diperoleh Wajib Pajak orang pribadi dari jasa sehubungan dengan pekerjaan bebas; b. penghasilan yang diterima atau diperoleh di luar negeri yang pajaknya terutang atau telah dibayar di luar negeri; c. penghasilan yang telah dikenai Pajak Penghasilan yang bersifat finai dengan ketentuan peraturan perundang-undangan perpajakan tersendiri; dan d. penghasilan yang dikecualikan sebagai objek pajak. Jasa sehubungan dengan pekerjaan bebas sebagaimana dimaksud pada ayat (3) huruf a meliputi: a. tenaga ahli yang melakukan pekerjaan bebas, yang terdiri dari pengacara, akuntan, arsitek, dokter, konsultan, notaris, PPAT, penilai, dan aktuaris; b. pemain musik, pembawa acara, penyanyi, pelawak, bintang film, bintang sinetron, bintang iklan, sutradara, kru film,foto model, peragawan/ peragawati, pemain drama, dan penari; c. olahragawan; d. penasihat, pengajar, pelatih, penceramah, penyuluh, dan moderator; e. pengarang, peneliti, dan penerjemah;(4) f. agen","Pasal 2 berbunyi: Atas penghasilan dari usaha yang diterima atau diperoleh Wajib Pajak dalam negeri yang memiliki peredaran bruto tertentu, dikenai Pajak Penghasilan yang bersifat final dalam jangka waktu tertentu. Tarif Pajak Penghasilan yang bersifat final sebagaimana dimaksud pada ayat (1) sebesar 0,57o (nol koma lima persen). Tidak termasuk penghasilan dari usaha yang dikenai Pajak Penghasilan yang bersifat final sebagaimana dimaksud pada ayat (1) sebagai berikut: a. penghasilan yang diterima atau diperoleh Wajib Pajak orang pribadi dari jasa sehubungan dengan pekerjaan bebas; b. penghasilan yang diterima atau diperoleh di luar negeri yang pajaknya terutang atau telah dibayar di luar negeri; c. penghasilan yang telah dikenai Pajak Penghasilan yang bersifat finai dengan ketentuan peraturan perundang-undangan perpajakan tersendiri; dan d. penghasilan yang dikecualikan sebagai objek pajak. Jasa sehubungan dengan pekerjaan bebas sebagaimana dimaksud pada ayat (3) huruf a meliputi: a. tenaga ahli yang melakukan pekerjaan bebas, yang terdiri dari pengacara, akuntan, arsitek, dokter, konsultan, notaris, PPAT, penilai, dan aktuaris; b. pemain musik, pembawa acara, penyanyi, pelawak, bintang film, bintang sinetron, bintang iklan, sutradara, kru film,foto model, peragawan/ peragawati, pemain drama, dan penari; c. olahragawan; d. penasihat, pengajar, pelatih, penceramah, penyuluh, dan moderator; e. pengarang, peneliti, dan penerjemah;(4) f. agen",3,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 2 ayat (1),2,1.0,,ayat,PRESIDEN REPUBLIK INOONESIA,Pasal 2 ayat (1) berbunyi: PRESIDEN REPUBLIK INOONESIA,4,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 2 ayat (1) poin f,2,1.0,f,poin,agen iklan;,Pasal 2 ayat (1) poin f berbunyi: agen iklan;,5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 2 ayat (1) poin g,2,1.0,g,poin,pengawas atau pengeloia proyek;,Pasal 2 ayat (1) poin g berbunyi: pengawas atau pengeloia proyek;,5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 2 ayat (1) poin h,2,1.0,h,poin,perantara;,Pasal 2 ayat (1) poin h berbunyi: perantara;,5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 2 ayat (1) poin i,2,1.0,i,poin,petugas penjaja barang dagangan;,Pasal 2 ayat (1) poin i berbunyi: petugas penjaja barang dagangan;,5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 2 ayat (1) poin j,2,1.0,j,poin,agen asuransi;,Pasal 2 ayat (1) poin j berbunyi: agen asuransi;,5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 2 ayat (1) poin k,2,1.0,k,poin,distributor perusahaan pemasaran berjenjang atau penjualan langsung dan kegiatan sejenis lainnya.,Pasal 2 ayat (1) poin k berbunyi: distributor perusahaan pemasaran berjenjang atau penjualan langsung dan kegiatan sejenis lainnya.,5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
